map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 75776 (136, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 791.364075, down = 10000000000.000000

Cycle 22: curT = 3355.612549, curPe = 20, nc = 337, nwv = 21
  Cell 72356 (126, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 1054.419800, up = 10000000000.000000, down = 1100.000000
  Cell 72976 (126, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 1054.419800, up = 1100.000000, down = 10000000000.000000
  Cell 72047 (127, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 1011.982849, up = 10000000000.000000, down = 1054.419800
  Cell 73287 (127, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 1011.982849, up = 1054.419800, down = 10000000000.000000
  Cell 71738 (128, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 973.364624, up = 10000000000.000000, down = 1011.982849
  Cell 73598 (128, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 973.364624, up = 1011.982849, down = 10000000000.000000
  Cell 71429 (129, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 938.835693, up = 10000000000.000000, down = 973.364624
  Cell 73909 (129, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 938.835693, up = 973.364624, down = 10000000000.000000
  Cell 71120 (130, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 908.514893, up = 10000000000.000000, down = 938.835693
  Cell 74220 (130, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 908.514893, up = 938.835693, down = 10000000000.000000
  Cell 70811 (131, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 882.468872, up = 10000000000.000000, down = 908.514893
  Cell 74531 (131, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 882.469055, up = 908.514893, down = 10000000000.000000
  Cell 70502 (132, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 860.754761, up = 10000000000.000000, down = 882.468872
  Cell 74842 (132, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 860.758667, up = 882.469055, down = 10000000000.000000
  Cell 70193 (133, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 843.456116, up = 10000000000.000000, down = 860.754761
  Cell 75153 (133, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 843.494690, up = 860.758667, down = 10000000000.000000
  Cell 69884 (134, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 830.797424, up = 10000000000.000000, down = 843.456116
  Cell 75464 (134, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 831.319763, up = 843.494690, down = 10000000000.000000
  Cell 69575 (135, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 824.622803, up = 10000000000.000000, down = 830.797424
  Cell 75775 (135, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 841.364075, up = 831.319763, down = 10000000000.000000

Cycle 23: curT = 3355.612549, curPe = 20, nc = 357, nwv = 21
  Cell 72355 (125, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 1104.248291, up = 10000000000.000000, down = 10000000000.000000
  Cell 72046 (126, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 1061.416382, up = 10000000000.000000, down = 1104.248291
  Cell 73286 (126, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 1061.416382, up = 1228.460083, down = 10000000000.000000
  Cell 71737 (127, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 1022.196045, up = 10000000000.000000, down = 1061.416382
  Cell 73597 (127, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 1022.196045, up = 1061.416382, down = 10000000000.000000
  Cell 71428 (128, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 986.873474, up = 10000000000.000000, down = 1022.196045
  Cell 73908 (128, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 986.873474, up = 1022.196045, down = 10000000000.000000
  Cell 71119 (129, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 955.575317, up = 10000000000.000000, down = 986.873474
  Cell 74219 (129, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 955.575317, up = 986.873474, down = 10000000000.000000
  Cell 70810 (130, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 928.369507, up = 10000000000.000000, down = 955.575317
  Cell 74530 (130, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 928.369629, up = 955.575317, down = 10000000000.000000
  Cell 70501 (131, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 905.308594, up = 10000000000.000000, down = 928.369507
  Cell 74841 (131, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 905.311279, up = 928.369629, down = 10000000000.000000
  Cell 70192 (132, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 886.459412, up = 10000000000.000000, down = 905.308594
  Cell 75152 (132, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 886.485107, up = 905.311279, down = 10000000000.000000
  Cell 69883 (133, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 871.977966, up = 10000000000.000000, down = 886.459412
  Cell 75463 (133, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 872.298828, up = 886.485107, down = 10000000000.000000
  Cell 69574 (134, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 862.924194, up = 10000000000.000000, down = 871.977966
  Cell 75774 (134, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 871.385986, up = 872.298828, down = 10000000000.000000
  Cell 69265 (135, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 862.924194

Cycle 24: curT = 3355.612549, curPe = 18, nc = 377, nwv = 21
  Cell 72045 (125, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 1110.904541, up = 10000000000.000000, down = 1344.248291
  Cell 71736 (126, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 1071.131348, up = 10000000000.000000, down = 1110.904541
  Cell 73596 (126, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 1071.131348, up = 1272.405396, down = 10000000000.000000
  Cell 71427 (127, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 1035.077271, up = 10000000000.000000, down = 1071.131348
  Cell 73907 (127, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 1035.077271, up = 1071.131348, down = 10000000000.000000
  Cell 71118 (128, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 1002.877258, up = 10000000000.000000, down = 1035.077271
  Cell 74218 (128, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 1002.877258, up = 1035.077271, down = 10000000000.000000
  Cell 70809 (129, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 974.601440, up = 10000000000.000000, down = 1002.877258
  Cell 74529 (129, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 974.601501, up = 1002.877258, down = 10000000000.000000
  Cell 70500 (130, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 950.299683, up = 10000000000.000000, down = 974.601440
  Cell 74840 (130, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 950.301514, up = 974.601501, down = 10000000000.000000
  Cell 70191 (131, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 930.027649, up = 10000000000.000000, down = 950.299683
  Cell 75151 (131, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 930.045105, up = 950.301514, down = 10000000000.000000
  Cell 69882 (132, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 913.898193, up = 10000000000.000000, down = 930.027649
  Cell 75462 (132, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 914.101318, up = 930.045105, down = 10000000000.000000
  Cell 69573 (133, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 902.551819, up = 10000000000.000000, down = 913.898193
  Cell 75773 (133, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 907.066589, up = 914.101318, down = 10000000000.000000
  Cell 69264 (134, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 912.924194, up = 10000000000.000000, down = 902.551819

Cycle 25: curT = 3355.612549, curPe = 16, nc = 395, nwv = 21
  Cell 71735 (125, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 1120.159058, up = 10000000000.000000, down = 1326.904541
  Cell 71426 (126, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 1083.429077, up = 10000000000.000000, down = 1120.159058
  Cell 73906 (126, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 1083.429077, up = 1286.855713, down = 10000000000.000000
  Cell 71117 (127, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 1050.394287, up = 10000000000.000000, down = 1083.429077
  Cell 74217 (127, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 1050.394287, up = 1083.429077, down = 10000000000.000000
  Cell 70808 (128, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1021.127991, up = 10000000000.000000, down = 1050.394287
  Cell 74528 (128, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 1021.128052, up = 1050.394287, down = 10000000000.000000
  Cell 70499 (129, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 995.678772, up = 10000000000.000000, down = 1021.127991
  Cell 74839 (129, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 995.680054, up = 1021.128052, down = 10000000000.000000
  Cell 70190 (130, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 974.094788, up = 10000000000.000000, down = 995.678772
  Cell 75150 (130, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 974.106873, up = 995.680054, down = 10000000000.000000
  Cell 69881 (131, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 956.460815, up = 10000000000.000000, down = 974.094788
  Cell 75461 (131, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 956.592834, up = 974.106873, down = 10000000000.000000
  Cell 69572 (132, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 943.180908, up = 10000000000.000000, down = 956.460815
  Cell 75772 (132, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 945.772156, up = 956.592834, down = 10000000000.000000
  Cell 69263 (133, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 942.761353, up = 10000000000.000000, down = 943.180908

Cycle 26: curT = 3355.612549, curPe = 15, nc = 411, nwv = 21
  Cell 71734 (124, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 1170.159058, up = 10000000000.000000, down = 10000000000.000000
  Cell 71425 (125, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 1131.913208, up = 10000000000.000000, down = 1170.159058
  Cell 71116 (126, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 1098.103760, up = 10000000000.000000, down = 1131.913208
  Cell 74216 (126, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 1098.103760, up = 1299.367798, down = 10000000000.000000
  Cell 70807 (127, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1067.917969, up = 10000000000.000000, down = 1098.103760
  Cell 74527 (127, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 1067.917969, up = 1098.103760, down = 10000000000.000000
  Cell 70498 (128, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1041.404175, up = 10000000000.000000, down = 1067.917969
  Cell 74838 (128, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 1041.405029, up = 1067.917969, down = 10000000000.000000
  Cell 70189 (129, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1018.605469, up = 10000000000.000000, down = 1041.404175
  Cell 75149 (129, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 1018.613953, up = 1041.405029, down = 10000000000.000000
  Cell 69880 (130, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 999.588135, up = 10000000000.000000, down = 1018.605469
  Cell 75460 (130, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 999.675903, up = 1018.613953, down = 10000000000.000000
  Cell 69571 (131, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 984.616943, up = 10000000000.000000, down = 999.588135
  Cell 75771 (131, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 986.175842, up = 999.675903, down = 10000000000.000000
  Cell 69262 (132, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 978.183228, up = 10000000000.000000, down = 984.616943

Cycle 27: curT = 3355.612549, curPe = 13, nc = 426, nwv = 21
  Cell 71424 (124, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 1180.678711, up = 10000000000.000000, down = 1410.159058
  Cell 71115 (125, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 1145.985962, up = 10000000000.000000, down = 1180.678711
  Cell 70806 (126, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1114.944336, up = 10000000000.000000, down = 1145.985962
  Cell 74526 (126, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 1114.944336, up = 1313.827148, down = 10000000000.000000
  Cell 70497 (127, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1087.439941, up = 10000000000.000000, down = 1114.944336
  Cell 74837 (127, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 1087.440552, up = 1114.944336, down = 10000000000.000000
  Cell 70188 (128, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1063.512695, up = 10000000000.000000, down = 1087.439941
  Cell 75148 (128, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 1063.518799, up = 1087.440552, down = 10000000000.000000
  Cell 69879 (129, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1043.216309, up = 10000000000.000000, down = 1063.512695
  Cell 75459 (129, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 1043.275879, up = 1063.518799, down = 10000000000.000000
  Cell 69570 (130, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1026.730713, up = 10000000000.000000, down = 1043.216309
  Cell 75770 (130, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1027.701660, up = 1043.275879, down = 10000000000.000000
  Cell 69261 (131, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1016.607117, up = 10000000000.000000, down = 1026.730713

Cycle 28: curT = 3355.612549, curPe = 12, nc = 439, nwv = 21
  Cell 71114 (124, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 1194.058472, up = 10000000000.000000, down = 1396.678711
  Cell 70805 (125, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1162.183716, up = 10000000000.000000, down = 1194.058472
  Cell 70496 (126, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1133.755127, up = 10000000000.000000, down = 1162.183716
  Cell 70187 (127, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1108.776123, up = 10000000000.000000, down = 1133.755127
  Cell 75147 (127, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 1108.780518, up = 1133.755615, down = 10000000000.000000
  Cell 69878 (128, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1087.291870, up = 10000000000.000000, down = 1108.776123
  Cell 75458 (128, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 1087.333008, up = 1108.780518, down = 10000000000.000000
  Cell 69569 (129, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1069.428955, up = 10000000000.000000, down = 1087.291870
  Cell 75769 (129, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1070.050659, up = 1087.333008, down = 10000000000.000000
  Cell 69260 (130, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1056.708008, up = 10000000000.000000, down = 1069.428955
  Cell 76080 (130, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1070.050659, down = 10000000000.000000
  Cell 68951 (131, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 1056.708008

Cycle 29: curT = 3355.612549, curPe = 12, nc = 451, nwv = 21
  Cell 71113 (123, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 1244.058472, up = 10000000000.000000, down = 10000000000.000000
  Cell 70804 (124, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1209.624023, up = 10000000000.000000, down = 1244.058472
  Cell 70495 (125, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1180.322876, up = 10000000000.000000, down = 1209.624023
  Cell 70186 (126, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1154.361084, up = 10000000000.000000, down = 1180.322876
  Cell 69877 (127, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1131.769409, up = 10000000000.000000, down = 1154.361084
  Cell 75146 (126, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 1154.364258, up = 10000000000.000000, down = 10000000000.000000
  Cell 75457 (127, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 1131.798340, up = 1154.364258, down = 10000000000.000000
  Cell 69568 (128, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1112.640381, up = 10000000000.000000, down = 1131.769409
  Cell 75768 (128, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1113.047852, up = 1131.798340, down = 10000000000.000000
  Cell 69259 (129, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1097.914307, up = 10000000000.000000, down = 1112.640381
  Cell 76079 (129, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 1120.050659, up = 1113.047852, down = 10000000000.000000
  Cell 68950 (130, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1272.708008, up = 10000000000.000000, down = 1097.914307

Cycle 30: curT = 3355.612549, curPe = 11, nc = 463, nwv = 21
  Cell 70803 (123, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1257.641602, up = 10000000000.000000, down = 1460.058472
  Cell 70494 (124, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1227.121948, up = 10000000000.000000, down = 1257.641602
  Cell 70185 (125, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1200.237183, up = 10000000000.000000, down = 1227.121948
  Cell 69876 (126, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1176.609985, up = 10000000000.000000, down = 1200.237183
  Cell 69567 (127, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1156.308228, up = 10000000000.000000, down = 1176.609985
  Cell 75145 (125, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 1204.364258, up = 10000000000.000000, down = 10000000000.000000
  Cell 75456 (126, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 1176.630615, up = 1204.364258, down = 10000000000.000000
  Cell 75767 (127, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1156.580811, up = 1176.630615, down = 10000000000.000000
  Cell 69258 (128, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1139.931396, up = 10000000000.000000, down = 1156.308228
  Cell 76078 (128, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 1151.738525, up = 1156.580811, down = 10000000000.000000
  Cell 68949 (129, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1310.194092, up = 10000000000.000000, down = 1139.931396

Cycle 31: curT = 3355.612549, curPe = 9, nc = 474, nwv = 21
  Cell 70802 (122, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 1307.641602, up = 10000000000.000000, down = 10000000000.000000
  Cell 70493 (123, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1274.232178, up = 10000000000.000000, down = 1307.641602
  Cell 70184 (124, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1246.378662, up = 10000000000.000000, down = 1274.232178
  Cell 69875 (125, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1221.779907, up = 10000000000.000000, down = 1246.378662
  Cell 69566 (126, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1200.385620, up = 10000000000.000000, down = 1221.779907
  Cell 69257 (127, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1182.588379, up = 10000000000.000000, down = 1200.385620
  Cell 75766 (126, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1200.571289, up = 1223.009155, down = 10000000000.000000
  Cell 76077 (127, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 1189.400391, up = 1200.571289, down = 10000000000.000000
  Cell 68948 (128, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1351.472046, up = 10000000000.000000, down = 1182.588379

Cycle 32: curT = 3355.612549, curPe = 8, nc = 483, nwv = 21
  Cell 70492 (122, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1322.025879, up = 10000000000.000000, down = 1523.641602
  Cell 70183 (123, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1292.790161, up = 10000000000.000000, down = 1322.025879
  Cell 69874 (124, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1267.249756, up = 10000000000.000000, down = 1292.790161
  Cell 69565 (125, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1244.833130, up = 10000000000.000000, down = 1267.249756
  Cell 69256 (126, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1225.775757, up = 10000000000.000000, down = 1244.833130
  Cell 68947 (127, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1393.895386, up = 10000000000.000000, down = 1225.775757
  Cell 75765 (125, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1245.362183, up = 10000000000.000000, down = 10000000000.000000
  Cell 76076 (126, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 1229.954468, up = 1245.362183, down = 10000000000.000000

Cycle 33: curT = 3355.612549, curPe = 8, nc = 491, nwv = 21
  Cell 70491 (121, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 1372.025879, up = 10000000000.000000, down = 10000000000.000000
  Cell 70182 (122, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1339.572144, up = 10000000000.000000, down = 1372.025879
  Cell 69873 (123, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1313.002075, up = 10000000000.000000, down = 1339.572144
  Cell 69564 (124, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1289.617065, up = 10000000000.000000, down = 1313.002075
  Cell 69255 (125, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1269.418091, up = 10000000000.000000, down = 1289.617065
  Cell 68946 (126, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1436.951660, up = 10000000000.000000, down = 1269.418091
  Cell 75764 (124, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 1295.362183, up = 10000000000.000000, down = 10000000000.000000
  Cell 76075 (125, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 1272.238892, up = 1295.362183, down = 10000000000.000000

Cycle 34: curT = 3355.612549, curPe = 4, nc = 499, nwv = 21
  Cell 69872 (122, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1359.053955, up = 10000000000.000000, down = 1387.148315
  Cell 69563 (123, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1334.710815, up = 10000000000.000000, down = 1359.053955
  Cell 69254 (124, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1313.460083, up = 10000000000.000000, down = 1334.710815
  Cell 68945 (125, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1480.492432, up = 10000000000.000000, down = 1313.460083

Cycle 35: curT = 3355.612549, curPe = 4, nc = 503, nwv = 21
  Cell 69871 (121, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1405.531250, up = 10000000000.000000, down = 10000000000.000000
  Cell 69562 (122, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1380.102661, up = 10000000000.000000, down = 1405.531250
  Cell 69253 (123, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1357.859619, up = 10000000000.000000, down = 1380.102661
  Cell 68944 (124, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1524.447144, up = 10000000000.000000, down = 1357.859619

Cycle 36: curT = 3355.612549, curPe = 4, nc = 507, nwv = 21
  Cell 69870 (120, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1455.531250, up = 10000000000.000000, down = 10000000000.000000
  Cell 69561 (121, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1425.821899, up = 10000000000.000000, down = 1455.531250
  Cell 69252 (122, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1402.587158, up = 10000000000.000000, down = 1425.821899
  Cell 68943 (123, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1568.768677, up = 10000000000.000000, down = 1402.587158

Cycle 37: curT = 3355.612549, curPe = 5, nc = 511, nwv = 21
  Cell 69869 (119, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1505.531250, up = 10000000000.000000, down = 10000000000.000000
  Cell 69560 (120, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1472.726685, up = 10000000000.000000, down = 1505.531250
  Cell 70180 (120, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1505.531250, down = 10000000000.000000
  Cell 69251 (121, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1447.633423, up = 10000000000.000000, down = 1472.726685
  Cell 68942 (122, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1613.424683, up = 10000000000.000000, down = 1447.633423

Cycle 38: curT = 3355.612549, curPe = 5, nc = 516, nwv = 21
  Cell 69868 (118, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1555.531250, up = 10000000000.000000, down = 10000000000.000000
  Cell 69559 (119, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1520.383667, up = 10000000000.000000, down = 1555.531250
  Cell 70179 (119, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 1721.531250, up = 1555.531250, down = 10000000000.000000
  Cell 69250 (120, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1493.252686, up = 10000000000.000000, down = 1520.383667
  Cell 68941 (121, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1658.401855, up = 10000000000.000000, down = 1493.252686

Cycle 39: curT = 3355.612549, curPe = 2, nc = 521, nwv = 21
  Cell 69249 (119, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1539.463623, up = 10000000000.000000, down = 1568.551392
  Cell 68940 (120, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1703.906738, up = 10000000000.000000, down = 1539.463623

Cycle 40: curT = 3355.612549, curPe = 2, nc = 523, nwv = 21
  Cell 69248 (118, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1586.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68939 (119, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1749.990845, up = 10000000000.000000, down = 1586.206787

Cycle 41: curT = 3355.612549, curPe = 2, nc = 525, nwv = 21
  Cell 69247 (117, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1636.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68938 (118, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1796.614746, up = 10000000000.000000, down = 1636.206787

Cycle 42: curT = 3355.612549, curPe = 3, nc = 527, nwv = 21
  Cell 69246 (116, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1686.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68937 (117, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1845.988892, up = 10000000000.000000, down = 1686.206787
  Cell 69557 (117, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1686.206787, down = 10000000000.000000

Cycle 43: curT = 3355.612549, curPe = 3, nc = 530, nwv = 21
  Cell 69245 (115, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1736.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68936 (116, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1895.870239, up = 10000000000.000000, down = 1736.206787
  Cell 69556 (116, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 1736.206787, up = 1736.206787, down = 10000000000.000000

Cycle 44: curT = 3355.612549, curPe = 3, nc = 533, nwv = 21
  Cell 69244 (114, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 1786.206787, up = 10000000000.000000, down = 10000000000.000000
  Cell 68935 (115, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 1945.847656, up = 10000000000.000000, down = 1786.206787
